value,date,access_date
88,1994-01-01,2001-03-02
130,1994-04-01,2001-03-02
168,1994-07-01,2001-03-02
225,1994-10-01,2001-03-02
253,1995-01-01,2001-03-02
235,1995-01-01,2003-04-28
353,1995-04-01,2001-03-02
325,1995-04-01,2003-04-28
443,1995-07-01,2001-03-02
421,1995-07-01,2003-04-28
491,1995-10-01,2001-03-02
448,1995-10-01,2003-04-28
456,1996-01-01,2001-03-02
425,1996-01-01,2003-04-28
509,1996-04-01,2001-03-02
469,1996-04-01,2003-04-28
570,1996-07-01,2001-03-02
549,1996-07-01,2003-04-28
611,1996-10-01,2001-03-02
565,1996-10-01,2003-04-28
539,1997-01-01,2001-03-02
513,1997-01-01,2003-04-28
594,1997-04-01,2001-03-02
555,1997-04-01,2003-04-28
679,1997-07-01,2001-03-02
634,1997-07-01,2003-04-28
667,1997-10-01,2001-03-02
641,1997-10-01,2003-04-28
564,1998-01-01,2001-05-03
551,1998-01-01,2003-04-28
632,1998-04-01,2001-05-03
602,1998-04-01,2003-04-28
699,1998-07-01,2001-05-03
676,1998-07-01,2003-04-28
846,1998-10-01,2001-05-03
801,1998-10-01,2003-04-28
867,1999-01-01,2001-05-03
865,1999-01-01,2002-04-02
901,1999-01-01,2003-04-28
1108,1999-04-01,2001-05-03
1101,1999-04-01,2002-04-02
1102,1999-04-01,2003-04-28
1358,1999-07-01,2001-05-03
1373,1999-07-01,2003-04-28
1424,1999-10-01,2001-05-03
1443,1999-10-01,2002-04-02
1447,1999-10-01,2003-04-28
1461,2000-01-01,2001-05-03
1511,2000-01-01,2002-04-02
1527,2000-01-01,2003-04-28
1642,2000-04-01,2001-05-03
1703,2000-04-01,2002-04-02
1697,2000-04-01,2003-04-28
2004,2000-07-01,2001-05-03
2032,2000-07-01,2002-04-02
2038,2000-07-01,2003-04-28
1956,2000-10-01,2001-05-03
2056,2000-10-01,2002-04-02
2044,2000-10-01,2003-04-28
1886,2001-01-01,2001-06-29
1889,2001-01-01,2002-04-02
1922,2001-01-01,2003-04-28
1901,2001-01-01,2004-04-29
2108,2001-04-01,2001-10-01
2116,2001-04-01,2001-10-30
2127,2001-04-01,2002-04-02
2120,2001-04-01,2003-04-28
2105,2001-04-01,2004-04-29
2543,2001-07-01,2001-12-28
2535,2001-07-01,2002-04-02
2536,2001-07-01,2003-04-28
2488,2001-07-01,2004-04-29
2490,2001-10-01,2002-04-02
2461,2001-10-01,2003-04-28
2450,2001-10-01,2004-04-29
2266,2002-01-01,2002-06-28
2278,2002-01-01,2002-08-27
2268,2002-01-01,2003-04-28
2269,2002-01-01,2004-04-29
2260,2002-01-01,2005-03-16
2262,2002-01-01,2011-04-29
2564,2002-04-01,2002-09-30
2523,2002-04-01,2003-04-28
2528,2002-04-01,2004-04-29
2526,2002-04-01,2005-03-16
2529,2002-04-01,2011-04-29
3065,2002-07-01,2002-12-27
3074,2002-07-01,2003-04-28
3021,2002-07-01,2004-04-29
3009,2002-07-01,2005-03-16
3013,2002-07-01,2011-04-29
2998,2002-10-01,2003-04-28
3016,2002-10-01,2004-04-29
3023,2002-10-01,2005-03-16
3027,2002-10-01,2011-04-29
2900,2003-01-01,2003-06-30
2893,2003-01-01,2003-07-29
2892,2003-01-01,2004-04-29
2869,2003-01-01,2005-03-16
2850,2003-01-01,2005-07-01
2851,2003-01-01,2011-04-29
3111,2003-04-01,2003-10-02
3135,2003-04-01,2003-10-30
3112,2003-04-01,2004-04-29
3103,2003-04-01,2005-03-16
3108,2003-04-01,2005-07-01
3102,2003-04-01,2011-04-29
3688,2003-07-01,2003-12-30
3604,2003-07-01,2004-04-29
3567,2003-07-01,2005-03-16
3630,2003-07-01,2005-07-01
3600,2003-07-01,2011-04-29
3677,2003-10-01,2004-04-29
3662,2003-10-01,2005-03-16
3655,2003-10-01,2005-07-01
3599,2004-01-01,2004-06-30
3602,2004-01-01,2004-10-01
3527.7,2004-01-01,2005-03-16
3528,2004-01-01,2005-04-01
3486,2004-01-01,2005-07-01
3481,2004-01-01,2006-05-03
3517,2004-01-01,2007-05-03
3516,2004-01-01,2011-04-29
3947,2004-04-01,2004-10-01
3938.2,2004-04-01,2005-03-16
3938,2004-04-01,2005-04-01
3913,2004-04-01,2005-07-01
3943,2004-04-01,2006-05-03
3970,2004-04-01,2007-05-03
3972,2004-04-01,2011-04-29
4615,2004-07-01,2004-12-30
4589.6,2004-07-01,2005-03-16
4590,2004-07-01,2005-04-01
4643,2004-07-01,2005-07-01
4604,2004-07-01,2006-05-03
4615,2004-07-01,2007-05-03
4594,2004-07-01,2011-04-29
4723.3,2004-10-01,2005-03-16
4723,2004-10-01,2005-04-01
4710,2004-10-01,2005-07-01
4938,2004-10-01,2006-05-03
4946,2004-10-01,2007-05-03
4945,2004-10-01,2011-04-29
4365,2005-01-01,2005-07-01
4400,2005-01-01,2006-05-03
4479,2005-01-01,2007-05-03
4460,2005-01-01,2008-04-30
4459,2005-01-01,2011-04-29
5030,2005-04-01,2005-10-03
5029,2005-04-01,2006-05-03
5173,2005-04-01,2007-05-03
5080,2005-04-01,2008-04-30
5078,2005-04-01,2011-04-29
5990,2005-07-01,2006-01-10
5856,2005-07-01,2006-05-03
5872,2005-07-01,2007-05-03
5873,2005-07-01,2008-04-30
5845,2005-07-01,2011-04-29
6313,2005-10-01,2006-05-03
6096,2005-10-01,2007-05-03
6212,2005-10-01,2008-04-30
6228,2005-10-01,2011-04-29
5722,2006-01-01,2006-06-28
5662,2006-01-01,2007-05-03
5845,2006-01-01,2008-04-30
5812,2006-01-01,2009-06-02
5793,2006-01-01,2011-04-29
6343,2006-04-01,2006-10-02
6326,2006-04-01,2007-05-03
6361,2006-04-01,2008-04-30
6390,2006-04-01,2009-06-02
6368,2006-04-01,2011-04-29
7224,2006-07-01,2006-12-28
7248,2006-07-01,2007-05-03
7281,2006-07-01,2008-04-30
7299,2006-07-01,2009-06-02
7276,2006-07-01,2011-04-29
7545,2006-10-01,2007-05-03
7393,2006-10-01,2008-04-30
7403,2006-10-01,2009-06-02
7480,2006-10-01,2011-04-29
6566,2007-01-01,2007-07-02
6748,2007-01-01,2008-04-30
6750,2007-01-01,2009-06-02
6783,2007-01-01,2010-04-30
6780,2007-01-01,2011-04-29
7647,2007-04-01,2007-10-02
7749,2007-04-01,2008-04-30
7765,2007-04-01,2009-06-02
7770,2007-04-01,2010-04-30
7768,2007-04-01,2011-04-29
8852,2007-07-01,2007-12-29
8827,2007-07-01,2008-04-30
8905,2007-07-01,2009-06-02
8903,2007-07-01,2011-04-29
9663,2007-10-01,2008-04-30
9692,2007-10-01,2009-06-02
9800,2007-10-01,2010-04-30
9797,2007-10-01,2011-04-29
8838,2008-01-01,2008-07-02
8891,2008-01-01,2009-06-02
8907,2008-01-01,2010-04-30
8878,2008-01-01,2011-04-29
10275,2008-04-01,2008-10-01
10193,2008-04-01,2009-06-02
10259,2008-04-01,2010-04-30
10238,2008-04-01,2011-04-29
11647,2008-07-01,2008-12-30
11640,2008-07-01,2009-06-02
11589,2008-07-01,2010-04-30
11542,2008-07-01,2011-04-29
10944,2008-10-01,2009-06-02
10690,2008-10-01,2010-04-30
10619,2008-10-01,2011-04-29
8483,2009-01-01,2009-07-01
8397,2009-01-01,2010-04-30
8306,2009-01-01,2011-04-29
8335,2009-01-01,2012-04-03
9326,2009-04-01,2009-09-30
9283,2009-04-01,2010-04-30
9222,2009-04-01,2011-04-29
9245,2009-04-01,2012-04-03
10490,2009-07-01,2009-12-30
10505,2009-07-01,2010-04-30
10439,2009-07-01,2011-04-29
10411,2009-07-01,2012-04-03
10879,2009-10-01,2010-04-30
10819,2009-10-01,2011-04-29
10816,2009-10-01,2012-04-03
9862,2010-01-01,2010-07-01
9572,2010-01-01,2011-04-29
9617,2010-01-01,2012-04-03
9996,2010-01-01,2013-04-30
10859,2010-04-01,2010-09-30
10623,2010-04-01,2011-04-29
10693,2010-04-01,2012-04-03
10977,2010-04-01,2013-04-30
11683,2010-07-01,2010-12-30
11773,2010-07-01,2011-04-29
11843,2010-07-01,2012-04-03
12086,2010-07-01,2013-04-30
12971,2010-10-01,2011-04-29
13019,2010-10-01,2012-04-03
13249,2010-10-01,2013-04-30
11410,2011-01-01,2011-08-01
11680,2011-01-01,2012-04-03
11925,2011-01-01,2013-04-30
11954,2011-01-01,2014-04-02
12844,2011-01-01,2016-04-29
12757,2011-04-01,2011-09-30
13038,2011-04-01,2012-04-03
13348,2011-04-01,2013-04-30
13376,2011-04-01,2014-04-02
14314,2011-04-01,2016-04-29
14055,2011-07-01,2011-12-29
14406,2011-07-01,2012-04-03
14646,2011-07-01,2013-04-30
14733,2011-07-01,2014-04-02
15663,2011-07-01,2016-04-29
15462,2011-10-01,2012-04-03
15880,2011-10-01,2013-04-30
15904,2011-10-01,2014-04-02
16877,2011-10-01,2016-04-29
13491,2012-01-01,2012-07-04
13802,2012-01-01,2013-04-30
13682,2012-01-01,2014-04-02
13677,2012-01-01,2015-04-30
14925,2012-01-01,2016-04-29
14571,2012-04-01,2012-10-02
15013,2012-04-01,2013-04-30
14912,2012-04-01,2014-04-02
14971,2012-04-01,2015-04-30
16149,2012-04-01,2016-04-29
15949,2012-07-01,2012-12-29
16350,2012-07-01,2013-04-30
16296,2012-07-01,2014-04-02
16281,2012-07-01,2015-04-30
17442,2012-07-01,2016-04-29
17434,2012-10-01,2013-04-30
17329,2012-10-01,2014-04-02
17247,2012-10-01,2015-04-30
18411,2012-10-01,2016-04-29
14988,2013-01-01,2013-07-04
14642,2013-01-01,2014-04-02
14577,2013-01-01,2015-04-30
15892,2013-01-01,2016-04-29
16111,2013-04-01,2013-10-01
15983,2013-04-01,2014-04-02
15828,2013-04-01,2015-04-30
17015,2013-04-01,2016-04-29
17934,2013-07-01,2013-12-30
17538,2013-07-01,2014-04-02
17451,2013-07-01,2015-04-30
18543,2013-07-01,2016-04-29
18592,2013-10-01,2014-04-02
18334,2013-10-01,2015-04-30
19567,2013-10-01,2016-04-29
15992,2014-01-01,2014-06-30
15454,2014-01-01,2015-04-30
17139,2014-01-01,2016-04-29
17390,2014-01-01,2017-05-03
17697,2014-04-01,2014-09-30
17300,2014-04-01,2015-04-30
18884,2014-04-01,2016-04-29
19128,2014-04-01,2017-05-03
18703,2014-07-01,2014-12-31
18722,2014-07-01,2015-04-30
20407,2014-07-01,2016-04-29
20759,2014-07-01,2017-05-03
19930,2014-10-01,2015-04-30
21515,2014-10-01,2016-04-29
21923,2014-10-01,2017-05-03
16565,2015-01-01,2015-07-01
18210,2015-01-01,2016-04-29
18568,2015-01-01,2017-05-03
18579,2015-01-01,2018-04-27
17491,2015-04-01,2015-09-30
19284,2015-04-01,2016-04-29
19858,2015-04-01,2017-05-03
19866,2015-04-01,2018-04-27
19305,2015-07-01,2015-12-30
21294,2015-07-01,2016-04-29
21967,2015-07-01,2017-05-03
22018,2015-07-01,2018-04-27
22016,2015-10-01,2016-04-29
22840,2015-10-01,2017-05-03
22925,2015-10-01,2018-04-27
18561,2016-01-01,2016-06-30
18861,2016-01-01,2017-05-03
19110,2016-01-01,2018-04-27
19979,2016-04-01,2016-09-30
20430,2016-04-01,2017-05-03
20625,2016-04-01,2018-04-27
22190,2016-07-01,2016-12-29
22721,2016-07-01,2017-05-03
22516,2016-07-01,2018-04-27
24077,2016-10-01,2017-05-03
23898,2016-10-01,2018-04-27
20091,2017-01-01,2017-07-03
20550,2017-01-01,2018-04-27
21691,2017-04-01,2017-10-02
22035,2017-04-01,2018-04-27
24033,2017-07-01,2017-12-27
23949,2017-07-01,2018-04-27
25503,2017-10-01,2018-04-27
22239,2018-01-01,2018-07-31
