url, hash, file, last_download, last_access, next_access, comment
http://www.gks.ru/free_doc/new_site/prices/potr/I_ipc.xlsx, 4868b3546983e988dd16d19301b75828, I_ipc.xlsx, 2018-08-30, 2018-08-30, 2018-09-06,"Chained CPI from Russian Statistical Agency, monthly"
http://www.gks.ru/free_doc/new_site/vvp/kv/tab5a.xls, 2ad86ae679a1f87fdd31f8010158bb53, tab5a.xls, 2018-08-31, 2018-08-31, 2018-09-07, Gross domestic product quarterly current prices
http://www.gks.ru/bgd/free/B04_03/IssWWW.exe/Stg/d03/13.htm,e6e06b6d8e3ca4dd934c539be4eb22ca,13.htm,2018-09-02,2018-09-02,2018-09-09,Employment statistics from Russian Statistical Agency (monthly)
http://www.gks.ru/bgd/free/B04_03/IssWWW.exe/Stg/d03/36.htm,fefe12190be345469472a0a7896521c1,36.htm,2018-09-02,2018-09-02,2018-09-09,Employment statistics from Russian Statistical Agency (monthly)
http://www.gks.ru/bgd/free/B04_03/IssWWW.exe/Stg/d03/57.htm,31d417eb9d812e9c7925ef7551f75ec2,57.htm,2018-09-02,2018-09-02,2018-09-09,Employment statistics from Russian Statistical Agency (monthly)
http://www.gks.ru/bgd/free/B04_03/IssWWW.exe/Stg/d03/78.htm,64b63debe53e28848ec0b1feb2098aba,78.htm,2018-09-02,2018-09-02,2018-09-09,Employment statistics from Russian Statistical Agency (monthly)
http://www.gks.ru/bgd/free/B04_03/IssWWW.exe/Stg/d03/100.htm,846150c6583f2dda75d552797c196ec2,100.htm,2018-09-02,2018-09-02,2018-09-09,Employment statistics from Russian Statistical Agency (monthly)
http://www.gks.ru/bgd/free/B04_03/IssWWW.exe/Stg/d03/122.htm,c2cc95c168ef537baef092ca186efe8f,122.htm,2018-09-02,2018-09-02,2018-09-09,Employment statistics from Russian Statistical Agency (monthly)
http://www.gks.ru/bgd/free/B04_03/IssWWW.exe/Stg/d03/142.htm,77be74108d778d8515915d062a7dcd63,142.htm,2018-09-02,2018-09-02,2018-09-09,Employment statistics from Russian Statistical Agency (monthly)
http://www.gks.ru/bgd/free/B04_03/IssWWW.exe/Stg/d01/165.htm,fb51bca97fa6b5923d30c54c7372e581,165.htm,2018-09-02,2018-09-02,2018-09-09,Employment statistics from Russian Statistical Agency (monthly)
