date,invest,access_date
1999-01-01,96.8,2019-08-27
1999-04-01,131.1,2019-08-27
1999-07-01,185.6,2019-08-27
1999-10-01,256.9,2019-08-27
2000-01-01,165.8,2019-08-27
2000-04-01,236,2019-08-27
2000-07-01,330.2,2019-08-27
2000-10-01,433.2,2019-08-27
2001-01-01,230.3,2019-08-27
2001-04-01,318.8,2019-08-27
2001-07-01,421.1,2019-08-27
2001-10-01,534.5,2019-08-27
2002-01-01,270.1,2019-08-27
2002-04-01,376.4,2019-08-27
2002-07-01,494.5,2019-08-27
2002-10-01,621.4,2019-08-27
2003-01-01,330,2019-08-27
2003-04-01,470.6,2019-08-27
2003-07-01,607.5,2019-08-27
2003-10-01,778.3,2019-08-27
2004-01-01,442.2,2019-08-27
2004-04-01,626.3,2019-08-27
2004-07-01,783.3,2019-08-27
2004-10-01,1013.2,2019-08-27
2005-01-01,540.5,2019-08-27
2005-04-01,776.3,2019-08-27
2005-07-01,993.6,2019-08-27
2005-10-01,1300.7,2019-08-27
2006-01-01,658.4,2019-08-27
2006-04-01,1017.6,2019-08-27
2006-07-01,1287.3,2019-08-27
2006-10-01,1766.7,2019-08-27
2007-01-01,897.6,2019-08-27
2007-04-01,1414.4,2019-08-27
2007-07-01,1744.1,2019-08-27
2007-10-01,2660.1,2019-08-27
2008-01-01,1314.6,2019-08-27
2008-04-01,1991.5,2019-08-27
2008-07-01,2369,2019-08-27
2008-10-01,3106.5,2019-08-27
2009-01-01,1224.3,2019-08-27
2009-04-01,1722.1,2019-08-27
2009-07-01,2061,2019-08-27
2009-10-01,2968.6,2019-08-27
2010-01-01,1242.9,2019-08-27
2010-04-01,1962.5,2019-08-27
2010-07-01,2361.5,2019-08-27
2010-10-01,3585.2,2019-08-27
2011-01-01,1422,2019-08-27
2011-04-01,2306,2019-08-27
2011-07-01,2854.1,2019-08-27
2011-10-01,4453.6,2019-08-27
2012-01-01,1730.1,2019-08-27
2012-04-01,2730.5,2019-08-27
2012-07-01,3225,2019-08-27
2012-10-01,4900.5,2019-08-27
2013-01-01,1905.4,2019-08-27
2013-04-01,2918.7,2019-08-27
2013-07-01,3402.9,2019-08-27
2013-10-01,5223.3,2019-08-27
2014-01-01,1884.1,2019-08-27
2014-04-01,2985,2019-08-27
2014-07-01,3493.2,2019-08-27
2014-10-01,5540.3,2019-08-27
2015-01-01,1960.7,2019-08-27
2015-04-01,2977.6,2019-08-27
2015-07-01,3428.7,2019-08-27
2015-10-01,5530.2,2019-08-27
2016-01-01,2047.3,2019-08-27
2016-04-01,3103.3,2019-08-27
2016-07-01,3615.9,2019-08-27
2016-10-01,5982.4,2019-08-27
2017-01-01,2243.7,2019-08-27
2017-04-01,3392.8,2019-08-27
2017-07-01,3934.5,2019-08-27
2017-10-01,6456.3,2019-08-27
2018-01-01,2396.2,2019-08-27
2018-04-01,3722.6,2019-08-27
2018-07-01,4396.8,2019-08-27
2018-10-01,7079.4,2019-08-27
