date,ind_prod,access_date
15706,81.5,2020-06-29
15737,99.7,2020-06-29
15765,113.5,2020-06-29
15796,95.6,2020-06-29
15826,101.1,2020-06-29
15857,98,2020-06-29
15887,101.4,2020-06-29
15918,99.5,2020-06-29
15949,102.3,2020-06-29
15979,105.1,2020-06-29
16010,103.1,2020-06-29
16040,108.3,2020-06-29
16071,77.8,2020-06-29
16102,101.5,2020-06-29
16130,109.2,2020-06-29
16161,98.6,2020-06-29
16191,98.2,2020-06-29
16222,101.7,2020-06-29
16252,101.2,2020-06-29
16283,99.7,2020-06-29
16314,103.6,2020-06-29
16344,106.3,2020-06-29
16375,99.3,2020-06-29
16405,112.4,2020-06-29
16436,73.9,2020-06-29
16467,99.8,2020-06-29
16495,112.5,2020-06-29
16526,95.6,2020-06-29
16556,97.6,2020-06-29
16587,103.2,2020-06-29
16617,100.5,2020-06-29
16648,101.4,2020-06-29
16679,103.1,2020-06-29
16709,105,2020-06-29
16740,101.9,2020-06-29
16770,109.1,2020-06-29
16801,75,2020-06-29
16832,102.4,2020-06-29
16861,109.8,2020-06-29
16892,96.1,2020-06-29
16922,98.2,2020-06-29
16953,104.8,2020-06-29
16983,101.1,2020-06-29
17014,100.1,2020-06-29
17045,103.6,2020-06-29
17075,107.5,2020-06-29
17106,102.9,2020-06-29
17136,107.6,2020-06-29
17167,76,2020-06-29
17198,96.7,2020-06-29
17226,113.9,2020-06-29
17257,95.9,2020-06-29
17287,101.7,2020-06-29
17318,101.3,2020-06-29
17348,98,2020-06-29
17379,103.8,2020-06-29
17410,103.1,2020-06-29
17440,104.2,2020-06-29
17471,101.1,2020-06-29
17501,107.4,2020-06-29
17532,79.3,2020-06-29
17563,97.5,2020-06-29
17591,113.4,2020-06-29
17622,96.9,2020-06-29
17652,101.5,2020-06-29
17683,99.8,2020-06-29
17713,99.7,2020-06-29
17744,102.7,2020-06-29
17775,102.5,2020-06-29
17805,105.8,2020-06-29
17836,99.8,2020-06-29
17866,107,2020-06-29
17897,78.5,2020-06-29
17928,100.4,2020-06-29
17956,110.3,2020-06-29
17987,100.2,2020-06-29
18017,97.9,2020-06-29
18048,102.3,2020-06-29
18078,99.3,2020-06-29
18109,102.5,2020-06-29
18140,102.7,2020-06-29
18170,105.5,2020-06-29
18201,97.5,2020-06-29
18231,108.9,2020-06-29
