date,in_res,nfa_cb,for_cur,sdr,mvf_pos,mon_gold,access_date
2019-10-01,530923,423077,412507,6618,3952,107846,2020-11-06
2019-11-01,540917,433015,422313,6701,4001,107903,2020-11-06
2019-12-01,542029,436132,425577,6664,3891,105896,2020-11-06
2020-01-01,554359,443983,433297,6717,3970,110376,2020-11-06
2020-02-01,562306,446488,435841,6693,3955,115818,2020-11-06
2020-03-01,570381,450629,440019,6671,3940,119752,2020-11-06
2020-04-01,563473,443634,433099,6631,3904,119840,2020-11-06
2020-05-01,566012,439927,429156,6639,4133,126084,2020-11-06
2020-06-01,566134,438568,427469,6663,4436,127566,2020-11-06
2020-07-01,568872,438082,426640,6681,4761,130790,2020-11-06
2020-08-01,591753,447431,435707,6863,4861,144322,2020-11-06
2020-09-01,594422,449834,438062,6891,4881,144588,2020-11-06
2020-10-01,583426,444309,432630,6837,4842,139117,2020-11-06
