date,ind_prod_perc_last_year,ind_prod_perc_last_month,access_date
2015-01-01,101.3,82.6,2021-01-25
2015-02-01,99.8,97.2,2021-01-25
2015-03-01,101.9,110.9,2021-01-25
2015-04-01,99.4,95.3,2021-01-25
2015-05-01,99,98.9,2021-01-25
2015-06-01,100.1,101.6,2021-01-25
2015-07-01,100.2,101.3,2021-01-25
2015-08-01,100.7,100.5,2021-01-25
2015-09-01,100.5,101,2021-01-25
2015-10-01,100.2,105.2,2021-01-25
2015-11-01,100.8,99.5,2021-01-25
2015-12-01,99,107.9,2021-01-25
2016-01-01,99.1,82.7,2021-01-25
2016-02-01,102,100.1,2021-01-25
2016-03-01,100.9,109.7,2021-01-25
2016-04-01,99.8,94.3,2021-01-25
2016-05-01,100.4,99.5,2021-01-25
2016-06-01,101.1,102.3,2021-01-25
2016-07-01,100.4,100.5,2021-01-25
2016-08-01,102.2,102.3,2021-01-25
2016-09-01,102.5,101.3,2021-01-25
2016-10-01,103,105.8,2021-01-25
2016-11-01,105.2,101.6,2021-01-25
2016-12-01,103.9,106.6,2021-01-25
2017-01-01,106.6,84.9,2021-01-25
2017-02-01,101.6,95.4,2021-01-25
2017-03-01,103.6,111.8,2021-01-25
2017-04-01,104.3,95,2021-01-25
2017-05-01,106.3,101.3,2021-01-25
2017-06-01,105.5,101.5,2021-01-25
2017-07-01,104.6,99.6,2021-01-25
2017-08-01,105.1,102.9,2021-01-25
2017-09-01,104,100.2,2021-01-25
2017-10-01,102.3,104,2021-01-25
2017-11-01,101.1,100.4,2021-01-25
2017-12-01,100.3,105.7,2021-01-25
2018-01-01,102.7,86.9,2021-01-25
2018-02-01,103.2,95.8,2021-01-25
2018-03-01,102.7,111.4,2021-01-25
2018-04-01,103.2,95.4,2021-01-25
2018-05-01,103.5,101.6,2021-01-25
2018-06-01,102.1,100.2,2021-01-25
2018-07-01,103.5,101,2021-01-25
2018-08-01,102.8,102.1,2021-01-25
2018-09-01,102.3,99.8,2021-01-25
2018-10-01,105.3,107,2021-01-25
2018-11-01,104.4,99.6,2021-01-25
2018-12-01,106.4,107.8,2021-01-25
2019-01-01,102.6,83.7,2021-01-25
2019-02-01,104.1,97.2,2021-01-25
2019-03-01,102.7,109.9,2021-01-25
2019-04-01,105.1,97.7,2021-01-25
2019-05-01,100.9,97.6,2021-01-25
2019-06-01,103.1,102.3,2021-01-25
2019-07-01,104.3,102.2,2021-01-25
2019-08-01,103.8,101.7,2021-01-25
2019-09-01,104.9,100.8,2021-01-25
2019-10-01,104.3,106.4,2021-01-25
2019-11-01,101.4,96.8,2021-01-25
2019-12-01,102.7,109.1,2021-01-25
2020-01-01,101.5,82.8,2021-01-25
2020-02-01,104.8,100.3,2021-01-25
2020-03-01,102.4,107.4,2021-01-25
2020-04-01,95.5,91,2021-01-25
2020-05-01,92.1,94.2,2021-01-25
2020-06-01,92.9,103.1,2021-01-25
2020-07-01,94.1,103.5,2021-01-25
2020-08-01,95.8,103.5,2021-01-25
2020-09-01,96.4,101.5,2021-01-25
2020-10-01,94.5,104.2,2021-01-25
