date,gdp_2016_price,access_date
2011-01-01,18440.083541412,2021-07-30
2011-04-01,19714.7983836423,2021-07-30
2011-07-01,20978.4241456063,2021-07-30
2011-10-01,22617.2640036255,2021-07-30
2012-01-01,19492.3081064737,2021-07-30
2012-04-01,20672.4469778873,2021-07-30
2012-07-01,21711.5749787369,2021-07-30
2012-10-01,23163.953384963,2021-07-30
2013-01-01,19712.5306261595,2021-07-30
2013-04-01,21028.1037790257,2021-07-30
2013-07-01,22039.0924653798,2021-07-30
2013-10-01,23753.3725488541,2021-07-30
2014-01-01,19703.1220823644,2021-07-30
2014-04-01,21144.8082868644,2021-07-30
2014-07-01,22348.6641551503,2021-07-30
2014-10-01,23973.6197417299,2021-07-30
2015-01-01,19401.7408126884,2021-07-30
2015-04-01,20490.9515696265,2021-07-30
2015-07-01,21967.9990181957,2021-07-30
2015-10-01,23589.8992890508,2021-07-30
2016-01-01,19361.6872098271,2021-07-30
2016-04-01,20556.7233370853,2021-07-30
2016-07-01,21980.8550008175,2021-07-30
2016-10-01,23716.8182670087,2021-07-30
2017-01-01,19615.8386209698,2021-07-30
2017-04-01,21038.5281270306,2021-07-30
2017-07-01,22560.9980814094,2021-07-30
2017-10-01,23963.9054172014,2021-07-30
2018-01-01,20118.4901628825,2021-07-30
2018-04-01,21612.6003342975,2021-07-30
2018-07-01,23155.3263008987,2021-07-30
2018-10-01,24740.1895113881,2021-07-30
2019-01-01,20371.6650379156,2021-07-30
2019-04-01,21871.2437257425,2021-07-30
2019-07-01,23760.1552343848,2021-07-30
2019-10-01,25445.6357474564,2021-07-30
2020-01-01,20651.9353534615,2021-07-30
2020-04-01,20163.79043771,2021-07-30
2020-07-01,22938.5377889267,2021-07-30
2020-10-01,24995.5345586532,2021-07-30
